Title,url,Description
section 379 of indian penal code doctypes: judgments,https://indiankanoon.org/search/%3FformInput%3Dsection%2520379%2520of%2520indian%2520penal%2520code%2Bdoctypes:judgments&amp;sa=U&amp;ved=2ahUKEwjg9uG2jpCEAxXAzTgGHa8zBd4QFnoECAYQAg&amp;usg=AOvVaw0D3hp_SveDo30VHvFaZTGI,"Stolen-property, dishonest, common-intention, criminal-procedure-code, criminal-force-to-attempt-theft, voluntarily-causing-hurt, mischief-against-public. Latest law cases caused under Section 379: Theft"
Section 379. Punishment for theft. - India Code,https://www.indiacode.nic.in/show-data%3Factid%3DAC_CEN_5_23_00037_186045_1523266765688%26sectionId%3D46162%26sectionno%3D379%26orderno%3D436,"Whoever commits theft shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both."
section 380 ipc doctypes: judgments - Indian Kanoon,https://indiankanoon.org/search/%3FformInput%3Dsection%2520380%2520ipc%2Bdoctypes:judgments,Case there cannot be any offence punishable under Section 380 of Indian Penal Code. ... section 378 IPC and theft in dwelling house is defined under section 380.
Supreme Court (SC) Judgements on IPC Section 380. Theft in ...,https://www.latestlaws.com/related-judgements/141251/ipc-section-380-theft-in-dwelling-house-etc,"Theft in dwelling house, etc. Bare Act Title, Category / State. IPC Section 380. Theft in dwelling house, etc, Criminal Laws ... for stealing his mother-in-law's ... lawLatest caused"
IPC Section 381 - Theft by clerk or servant of property in possession ...,https://devgan.in/ipc/section/381/,"I.P.C 381, Theft by clerk or servant of property in possession of master, from the Indian Penal Code, by Advocate Raman Devgan."
section 381 ipc - Indian Kanoon,https://indiankanoon.org/search/%3FformInput%3Dsection%2520381%2520ipc,"Theft by clerk or servant of property in possession of master.— Whoever ... stolen-property, dishonest, criminal-procedure-code, theft, criminal-conspiracy."
"Section 382. Theft after preparation made for causing death, hurt or ...",https://www.indiacode.nic.in/show-data%3Factid%3DAC_CEN_5_23_00037_186045_1523266765688%26sectionId%3D46165%26sectionno%3D382%26orderno%3D439,"Whoever commits theft, having made preparation for causing death, or hurt, or restraint, or fear of death, or of hurt, or of restraint, to any person, in order ..."
IPC Section 382 - Theft after preparation made for ... - Devgan.in,https://devgan.in/ipc/section/382/,"Whoever commits theft, having made preparation for causing death, or hurt, or restraint, or fear of death, or of hurt, or of restraint, to any person, in order ... lawLatest caused"
Section 383. Extortion. - India Code,https://www.indiacode.nic.in/show-data%3Factid%3DAC_CEN_5_23_00037_186045_1523266765688%26sectionId%3D46166%26sectionno%3D383%26orderno%3D440,"A has committed extortion. (b) A threatens Z that he will keep Z's child in wrongful confinement, unless Z will sign and deliver to A a promissory note."
section 383 ipc doctypes: judgments - Indian Kanoon,https://indiankanoon.org/search/%3FformInput%3Dsection%2520383%2520ipc%2Bdoctypes:judgments&amp;sa=U&amp;ved=2ahUKEwiTiLzxjpCEAxWXwTgGHRxPA9cQFnoECAgQAg&amp;usg=AOvVaw0SG0aNXktBoOSeCGa2FCND,Section 383 of the Indian Penal Code defines extortion. The same. Bombay ... offence of extortion as defined in Section 383 IPC is made out. Section 383
Section 384 IPC with a detailed explanation of Extortion - ezyLegal,https://www.ezylegal.in/blogs/everything-about-extortion-and-section-384-ipc,"Extortion, as per section 384 IPC, is a serious crime in which an individual uses threats, intimidation, or blackmail to obtain money, property, or information."
Section 384 - India Code,https://www.indiacode.nic.in/show-data%3Factid%3DAC_CEN_5_23_00037_186045_1523266765688%26orderno%3D441,"Whoever commits extortion shall be punished with imprisonment of either description for a term which may extend to three years, or with fine, or with both."
IPC Section 385 - Putting person in fear of injury in order to commit ...,https://devgan.in/ipc/section/385/,"I.P.C 385, Putting person in fear of injury in order to commit extortion, from the Indian Penal Code, by Advocate Raman Devgan."
Section 385 IPC - Indian Kanoon,https://indiankanoon.org/search/?formInput=section%20385%20ipc,"Section 385 in The Indian Penal Code, 1860 385. Putting person in fear of injury in order to commit extortion.— Whoever, in order. Union of India - Section"
IPC Section 386 - Extortion by putting a person in fear of death or ...,https://devgan.in/ipc/section/386/,"I.P.C 386, Extortion by putting a person in fear of death or grievous hurt, from the Indian Penal Code, by Advocate Raman Devgan."
Section 387. Putting person in fear of death or of ... - India Code,https://www.indiacode.nic.in/show-data%3Factid%3DAC_CEN_5_23_00037_186045_1523266765688%26sectionId%3D46170%26sectionno%3D387%26orderno%3D444,"Whoever, in order to the committing of extortion, puts or attempts to put any person in fear of death or of grievous hurt to that person or to any other"
Section 387. Putting person in fear of death or of ... - India Code,https://www.indiacode.nic.in/show-data%3Factid%3DAC_CEN_5_23_00037_186045_1523266765688%26sectionId%3D46170%26sectionno%3D387%26orderno%3D444,"Whoever, in order to the committing of extortion, puts or attempts to put any person in fear of death or of grievous hurt to that person or to any other"
IPC Section 387 - Putting person in fear of death or of ... - Devgan.in,https://devgan.in/?q=387&a=1,"I.P.C 387, Putting person in fear of death or of grievous hurt, in order to commit extortion, from the Indian Penal Code, by Advocate Raman"
section 390 of indian penal code doctypes: supremecourt,https://indiankanoon.org/search/%3FformInput%3Dsection%2520390%2520of%2520indian%2520penal%2520code%2Bdoctypes:supremecourt,"Further, the robbery has defined under section 390 IPC, which stipulates that Theft is “robbery. Supreme Court of India. Cites 28 - Cited by 0 - Full"
Section 390. Robbery. - India Code,https://www.indiacode.nic.in/show-data%3Factid%3DAC_CEN_5_23_00037_186045_1523266765688%26sectionId%3D46173%26sectionno%3D390%26orderno%3D447,"A holds Z down, and fraudulently takes Z's money and jewels from Z's clothes, without Z's consent."
